Variable,Epoch,n,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p
SBP,Baseline,49,-0.646920489795921,12.1795187981408,standard,-24.5187773341518,23.22493635456,-0.0832469849259995,0.569577286350315,-0.109897959183673,0.452226889863985,0.608362195466146,0.31,0.78,0.000750852641531698,0.436448068845065,0.00150867968434271
SBP,Min 1,49,2.36569368367347,11.0121695054837,standard,-19.2181585470745,23.9495459144214,-0.0518307804199247,0.723573342509322,-0.138469387755102,0.342699582514659,0.634686672153634,0.35,0.79,0.00033546573377387,0.453433717518372,0.000911016736426747
SBP,Min 2,49,0.400461857142862,11.4571089208799,standard,-22.0554716277818,22.8563953420676,0.0451528451805039,0.758030859292011,-0.0278571428571429,0.84930692611085,0.790713874135602,0.63,0.88,1.31035109024664e-07,0.653586164629118,1.15410160581805e-07
DBP,Baseline,49,0.805421663265306,8.04404158000153,standard,-14.9608998335377,16.5717431600683,-0.106682789202231,0.465642539751823,0.119795918367347,0.412283322804189,0.597064169144717,0.29,0.77,0.00103098865388112,0.423094707114487,0.00219922007540463
DBP,Min 1,49,1.76662978571429,6.05589259650711,standard,-10.1029197034397,13.6361792748682,-0.14501401493328,0.320144627110531,0.0414285714285714,0.777456718589005,0.664582081381881,0.41,0.81,0.000117935511330875,0.476848639624291,0.000432631734111114
DBP,Min 2,49,0.674497428571429,5.70835144772907,standard,-10.5138714089775,11.8628662661204,0.223627799606697,0.122438635808544,-0.000714285714285714,0.996113583063156,0.786560808393146,0.62,0.88,1.79550472757547e-07,0.644973980470203,1.996800600709e-07
MBP,Baseline,49,0.229396595238097,8.9952785372823,standard,-17.4013493378352,17.8601425283114,-0.112146079212873,0.442973428145179,-0.043469387755102,0.766794284901345,0.672455976102746,0.42,0.82,8.72184885685472e-05,0.506375484599108,0.000154652484232075
MBP,Min 1,49,2.07284291496598,7.80073146100123,standard,-13.2165907485964,17.3622765785284,-0.0961455551423111,0.511071756313614,-0.00357142857142857,0.980569699749131,0.646362727017775,0.37,0.8,0.00022702553460801,0.460169798777838,0.000739794433611687
MBP,Min 2,49,0.587462360544214,7.68890372103616,standard,-14.4827889326867,15.6577136537751,0.223992646716418,0.121813988269665,-0.0013265306122449,0.992782436182242,0.799129886723339,0.64,0.89,6.73235176572095e-08,0.664135040108936,5.7291056992152e-08
HR,Baseline,49,-1.00637545918367,5.53338548245191,regression,-11.3351060946672,9.32235517629989,-0.3345309006465,0.0188037436594177,0.228265306122449,0.114677169298029,0.936767177340969,0.89,0.96,1.60123038033484e-17,0.877531030078272,2.09491345245125e-20
