Variable,Comparison,Test,n,P_raw,P_bonferroni,Effect,Effect_type
SBP,Baseline vs Min 1,paired t,49,2.21138735502981e-05,6.63416206508944e-05,-0.671619525222487,Cohen d
SBP,Baseline vs Min 2,paired t,49,1.78571528072088e-11,5.35714584216265e-11,-1.24692985471181,Cohen d
SBP,Min 1 vs Min 2,Wilcoxon,49,5.0951134118703e-09,1.52853402356109e-08,-0.959183673469388,rank biserial
DBP,Baseline vs Min 1,paired t,49,9.39238704879898e-09,2.81771611463969e-08,-0.990094689075084,Cohen d
DBP,Baseline vs Min 2,paired t,49,2.44629551297482e-16,7.33888653892446e-16,-1.745006354277,Cohen d
DBP,Min 1 vs Min 2,Wilcoxon,49,2.05694582857376e-09,6.17083748572128e-09,-0.983673469387755,rank biserial
MBP,Baseline vs Min 1,paired t,49,3.00292535028461e-09,9.00877605085383e-09,-1.03628454396157,Cohen d
MBP,Baseline vs Min 2,paired t,49,7.72509624615204e-16,2.31752887384561e-15,-1.69055069534757,Cohen d
MBP,Min 1 vs Min 2,Wilcoxon,49,2.96433350036713e-09,8.89300050110139e-09,-0.973877551020408,rank biserial
HR,Baseline vs Min 1,Wilcoxon,49,4.25718067757176e-09,1.27715420327153e-08,-0.964081632653061,rank biserial
HR,Baseline vs Min 2,Wilcoxon,49,9.21588720125623e-09,2.76476616037687e-08,-0.942857142857143,rank biserial
HR,Min 1 vs Min 2,Wilcoxon,49,0.000111306063258931,0.000333918189776794,0.634285714285714,rank biserial
MCAv mean,Baseline vs Min 1,paired t,46,0.0578888530709341,0.173666559212802,-0.286954211350299,Cohen d
MCAv mean,Baseline vs Min 2,paired t,46,0.451492665191198,1,0.111987489981743,Cohen d
MCAv mean,Min 1 vs Min 2,Wilcoxon,46,0.010084290886714,0.0302528726601421,0.435707678075856,rank biserial
CVCi,Baseline vs Min 1,paired t,46,0.00317160186145666,0.00951480558436997,0.459712261110971,Cohen d
CVCi,Baseline vs Min 2,paired t,46,3.30840343279408e-10,9.92521029838224e-10,1.18134252048176,Cohen d
CVCi,Min 1 vs Min 2,Wilcoxon,46,8.80846684481185e-09,2.64254005344355e-08,0.974098057354302,rank biserial
MCAv pulsatility,Baseline vs Min 1,paired t,46,1.36486989505875e-07,4.09460968517624e-07,0.92031225567289,Cohen d
MCAv pulsatility,Baseline vs Min 2,Wilcoxon,46,8.19593814955777e-05,0.000245878144486733,0.666975023126735,rank biserial
MCAv pulsatility,Min 1 vs Min 2,Wilcoxon,46,0.650258569761478,1,0.0767807585568918,rank biserial
ET-CO2,Baseline vs Min 1,paired t,45,2.99491631688693e-09,8.98474895066079e-09,1.10285064436257,Cohen d
ET-CO2,Baseline vs Min 2,Wilcoxon,45,7.51013169431047e-08,2.25303950829314e-07,0.920772946859903,rank biserial
ET-CO2,Min 1 vs Min 2,Wilcoxon,45,2.03468008388441e-05,6.10404025165323e-05,0.729468599033816,rank biserial
