ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p,Group,Variable,Epoch,n
0.240149718862994,-0.67,0.65,0.244340371757987,0.135042290134725,0.505644080151931,Male,SBP,Baseline,27
0.505005420516344,-0.09,0.77,0.0393688736618632,0.335437902527345,0.0873648285667269,Male,SBP,Min 1,27
0.758212155543578,0.47,0.89,0.000279588933187985,0.603131319304972,0.000626778448996746,Male,SBP,Min 2,27
0.446369201631952,-0.21,0.75,0.0691123991649164,0.274027891678138,0.168308443121302,Male,DBP,Baseline,27
0.40299308058135,-0.31,0.73,0.0975775613526996,0.246684105055405,0.21722157592342,Male,DBP,Min 1,27
0.65747085522698,0.25,0.84,0.00408244824663903,0.480848142460392,0.0102437431524912,Male,DBP,Min 2,27
0.468543279029888,-0.17,0.76,0.0566718167119862,0.29736348297513,0.133058683062126,Male,MBP,Baseline,27
0.446036680423309,-0.22,0.75,0.0693099810666824,0.282039344059872,0.155550651612836,Male,MBP,Min 1,27
0.745899207878027,0.44,0.88,0.000421854593474244,0.585771205129624,0.00100825235668634,Male,MBP,Min 2,27
0.916429761929068,0.82,0.96,7.29778009235469e-09,0.838828536432967,2.47534663119752e-09,Male,HR,Baseline,27
0.726373065855953,0.4,0.88,0.000765515658833961,0.56235751410024,0.00182642483584507,Male,HR,Min 1,27
0.667532351650933,0.27,0.85,0.00330873653001513,0.483425929705702,0.00976775818343149,Male,HR,Min 2,27
0.635683433695766,0.17,0.84,0.00821950051610807,0.464315521350765,0.0183570674731121,Male,MCAv mean,Baseline,25
0.595595122757912,0.08,0.82,0.0154179736997739,0.416308580836343,0.0376285295215882,Male,MCAv mean,Min 1,25
0.810575179511305,0.57,0.92,6.32553188655325e-05,0.673859592204269,0.000125193536386927,Male,MCAv mean,Min 2,25
0.711433036184483,0.35,0.87,0.00172579744710265,0.55151974174898,0.00360623077932979,Male,CVCi,Baseline,25
0.622698461803631,0.14,0.83,0.010201375106975,0.433441871785369,0.0294843942897354,Male,CVCi,Min 1,25
0.869244642929801,0.7,0.94,2.24371239732103e-06,0.76277693065226,2.5554640601358e-06,Male,CVCi,Min 2,25
0.677626606170756,0.27,0.86,0.00371960893095709,0.512265130597566,0.00795866644250178,Male,MCAv pulsatility,Baseline,25
0.404323707204684,-0.35,0.74,0.105834905100662,0.251637250945127,0.22774531389449,Male,MCAv pulsatility,Min 1,25
0.488135013526076,-0.16,0.77,0.0538327748740261,0.320729341501442,0.11890765050989,Male,MCAv pulsatility,Min 2,25
0.932489695335976,0.84,0.97,5.99367662791197e-09,0.870160196857961,9.84149493270985e-10,Male,ET-CO2,Baseline,24
0.537233413052251,-0.09,0.8,0.0387395146477811,0.366886538157104,0.0852562676667015,Male,ET-CO2,Min 1,23
0.795247223401479,0.52,0.91,0.000224145525869713,0.654102852332794,0.000466723826864309,Male,ET-CO2,Min 2,23
0.867170845937442,0.47,0.97,0.00301673434256464,0.722265665798694,0.0157831346986295,Female matched,SBP,Baseline,10
0.77441588431062,0.09,0.94,0.0185070739167551,0.581413210273695,0.0786874690005001,Female matched,SBP,Min 1,10
0.827818975159722,0.31,0.96,0.00756971257165774,0.69566544717668,0.023067950167491,Female matched,SBP,Min 2,10
0.7617114952771,0.04,0.94,0.0219879327671986,0.573350072001149,0.0842843090119816,Female matched,DBP,Baseline,10
0.798543743976027,0.19,0.95,0.0128385687360491,0.604362628252759,0.0640251830260031,Female matched,DBP,Min 1,10
0.84987752339309,0.4,0.96,0.0046875385358747,0.73888666628622,0.0121336687443434,Female matched,DBP,Min 2,10
0.842309623922568,0.37,0.96,0.00557705894021301,0.68528651563056,0.0264308070093606,Female matched,MBP,Baseline,10
0.783817666418661,0.13,0.95,0.0161522718858457,0.574138897727251,0.0837264321232396,Female matched,MBP,Min 1,10
0.840941751358855,0.36,0.96,0.0057486665118523,0.725361421063255,0.015053224650391,Female matched,MBP,Min 2,10
0.932460996559391,0.73,0.98,0.000221662417690261,0.855659463479452,0.000729125495938479,Female matched,HR,Baseline,10
0.755713509520041,0.02,0.94,0.0237509510571416,0.57825831462045,0.080849522510307,Female matched,HR,Min 1,10
0.758647878399439,0.03,0.94,0.0228788521768617,0.579935187825187,0.0796959126735188,Female matched,HR,Min 2,10
0.433176050450162,-1.28,0.86,0.20526144641811,0.274637001179826,0.455810070274725,Female matched,MCAv mean,Baseline,10
0.765431353832639,0.06,0.94,0.0209330917849415,0.614998229587724,0.0578551808838731,Female matched,MCAv mean,Min 1,10
