n,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p,Variable,Epoch
37,-0.170044486486489,13.2169095575889,standard,-26.0751872193606,25.7350982463877,-0.14869557940349,0.379762949119587,-0.132053105737316,0.435921255599488,0.572474226752895,0.17,0.78,0.00629376775976851,0.400984632629053,0.013244933817461,SBP,Baseline
37,2.28430502702703,11.1349229903446,standard,-19.5401440340483,24.1087540881024,0.0540809435490347,0.750558139211831,-0.0867709815078236,0.6095915922378,0.624460622019698,0.27,0.81,0.00209907965197229,0.443500447310491,0.00545408141503941,SBP,Min 1
37,0.462799716216222,11.3082614590538,standard,-21.7013927435293,22.6269921759617,0.01377856124501,0.935490606327387,-0.0540540540540541,0.750678220808354,0.791607273358962,0.6,0.89,4.04392692407983e-06,0.654702336344382,4.91315863534736e-06,SBP,Min 2
37,0.879757418918918,8.94684891376808,standard,-16.6560664520665,18.4155812899044,-0.0813890790314153,0.632028140587746,0.0429113323850166,0.800904511654492,0.570240891555166,0.17,0.78,0.00656256933455246,0.39646847308979,0.0144529921956618,DBP,Baseline
37,1.7897130945946,6.40531773997572,standard,-10.7647096757578,14.344135864947,-0.224361431429709,0.181879949330159,0.140825035561878,0.405770785113552,0.634370045653164,0.29,0.81,0.00165124652245736,0.445389058913171,0.0052280154371821,DBP,Min 1
37,0.691023635135136,5.60135029822364,standard,-10.2876229493832,11.6696702196535,0.158461709922819,0.348892830315763,-0.0616405879563774,0.717037484289429,0.793807943944359,0.6,0.89,3.55242492983987e-06,0.654609935279965,4.9353041612914e-06,DBP,Min 2
37,0.571928445945947,9.96823670640222,standard,-18.9658154986024,20.1096723904943,-0.117675200218338,0.4879089766107,-0.0289236605026079,0.865063150638084,0.648008423434161,0.32,0.82,0.00116491116525393,0.478456256607243,0.00238303306979704,MBP,Baseline
37,2.24582512162162,8.04241886918182,standard,-13.5173158619747,18.008966105218,-0.0577411222829585,0.734267745645952,0.0305832147937411,0.857398087135885,0.628697877450804,0.28,0.81,0.00189691190794161,0.439397420715207,0.0059741035065579,MBP,Min 1
37,0.785289405405402,7.33615487785168,standard,-13.5935741551839,15.1641529659947,0.203477951441776,0.227080768922836,-0.0585585585585586,0.730644863327882,0.813384904630996,0.64,0.9,1.02477387498298e-06,0.68293680638497,1.13593911462649e-06,MBP,Min 2
37,-1.59380204054054,5.67648426349209,regression,-12.1430891127156,8.95548503163455,-0.354881679386372,0.0311405549347428,0.283783783783784,0.0887299693266267,0.936252893038417,0.88,0.97,1.67150688937628e-13,0.871681280938973,5.55354510074511e-15,HR,Baseline
37,0.605034148648648,8.52928338303904,fan,-10.5679960668663,11.7780643641636,0.0759404161760452,0.655077922263487,0.36533902323376,0.0261829428848948,0.719943767882636,0.46,0.86,0.000118822504241208,0.561161464926106,0.000215687962381953,HR,Min 1
37,1.90443706756757,6.77171105259515,fan,-7.69404723329437,11.5029213684295,0.311564661472961,0.0604970853504727,0.334518729255571,0.0430033287658644,0.689319976892268,0.4,0.84,0.000347975075127096,0.506409738034593,0.00114183066450018,HR,Min 2
35,0.293225242857143,10.9759777326199,standard,-21.219691113078,21.8061415987922,-0.0117309830419577,0.946674723439124,-0.0817927170868347,0.640426491574033,0.704529323776805,0.41,0.85,0.000303751835783239,0.543658225586657,0.000567027959645658,MCAv mean,Baseline
35,-0.651374485714285,5.96426533898628,regression,-11.1087776624222,9.80602869099361,-0.472539922369362,0.00415189164847861,0.236414565826331,0.171522991274553,0.626826900143262,0.26,0.81,0.00256790473033703,0.453454499096179,0.00566736789020772,MCAv mean,Min 1
35,-0.0852809428571435,6.35158465528376,standard,-12.5343868672133,12.363824981499,-0.164612652690161,0.344678611940737,0.0196078431372549,0.910982550834288,0.771191255100571,0.55,0.88,2.09364325929015e-05,0.62754921315173,3.03060730643192e-05,MCAv mean,Min 2
35,3.87515556926462e-06,0.125959194435129,standard,-0.246876145937284,0.246883896248423,0.170320805946167,0.327970987587663,0,1,0.682720876626479,0.37,0.84,0.000601880590261561,0.518281102457321,0.00116645177044687,CVCi,Baseline
35,-0.0236734960357332,0.0824309114576988,regression,-0.177097072583696,0.12975008051223,-0.353214603699906,0.0373994296944471,0.146498599439776,0.401039725304363,0.581049001617382,0.17,0.79,0.00656775719579535,0.389941397201716,0.0198536727900332,CVCi,Min 1
35,-0.00159286915383173,0.0723236873572435,standard,-0.143347296374029,0.140161558066366,-0.219862321156966,0.204412295558881,0.0932773109243698,0.594061863501818,0.806917116982796,0.62,0.9,2.98087172758263e-06,0.676220182786903,3.30981881003493e-06,CVCi,Min 2
35,-0.00584602028650835,0.104174281174416,standard,-0.210027611388364,0.198335570815347,-0.168356279192944,0.333663606092441,0.107002801120448,0.540665114331284,0.75367088060247,0.51,0.88,4.68540959222865e-05,0.603938649259888,7.62230969442177e-05,MCAv pulsatility,Baseline
35,0.0146421680211457,0.100139665973906,fan,-0.131300442483116,0.160584778525407,-0.0769469230720447,0.660412288556699,-0.378711484593838,0.0248698020406074,0.36971302136583,-0.25,0.68,0.091750508506554,0.222983293469384,0.199514250229279,MCAv pulsatility,Min 1
