Group,Variable,Epoch,n,ICC_full,CCC_full,ICC_LOO_min,ICC_LOO_max,CCC_LOO_min,CCC_LOO_max,max_abs_delta_ICC,max_abs_delta_CCC,Most_influential_ID_ICC,ICC_change_full_minus_leave_one_out,Max_abs_change_ICC,ICC_after_removing_most_influential_ID,Most_influential_ID_CCC,CCC_change_full_minus_leave_one_out,Max_abs_change_CCC,CCC_after_removing_most_influential_ID,ICC_sign_changes_in_LOO,CCC_sign_changes_in_LOO,High_influence_flag
Female unmatched,CVCi,Baseline,6,-0.519,-0.196,-2.844,0.394,-0.515,0.234,2.324,0.43,49,2.324,2.324,-2.844,22,-0.43,0.43,0.234,True,True,True
Female unmatched,CVCi,Min 2,6,0.487,0.309,0.12,0.908,0.06,0.588,0.421,0.279,26,-0.421,0.421,0.908,26,-0.279,0.279,0.588,False,False,True
Female unmatched,DBP,Baseline,7,0.841,0.58,0.444,0.902,0.159,0.727,0.397,0.42,42,0.397,0.397,0.444,42,0.42,0.42,0.159,False,False,True
Female unmatched,DBP,Min 1,7,0.474,0.304,0.293,0.847,0.166,0.718,0.373,0.415,42,-0.373,0.373,0.847,42,-0.415,0.415,0.718,False,False,True
Female unmatched,DBP,Min 2,7,0.162,0.079,-0.826,0.708,-0.228,0.547,0.987,0.468,36,0.987,0.987,-0.826,42,-0.468,0.468,0.547,True,True,True
Female unmatched,ET-CO2,Min 1,6,-1.305,-0.275,-1.896,-0.483,-0.345,-0.088,0.822,0.188,26,-0.822,0.822,-0.483,26,-0.188,0.188,-0.088,False,False,True
Female unmatched,ET-CO2,Min 2,6,-0.671,-0.203,-1.37,0.414,-0.352,0.071,1.084,0.275,26,-1.084,1.084,0.414,26,-0.275,0.275,0.071,True,True,True
Female unmatched,HR,Min 1,7,0.771,0.594,0.48,0.923,0.286,0.721,0.29,0.307,36,0.29,0.29,0.48,36,0.307,0.307,0.286,False,False,True
Female unmatched,MBP,Min 1,7,0.219,0.12,0.005,0.559,0.002,0.384,0.34,0.264,42,-0.34,0.34,0.559,42,-0.264,0.264,0.384,False,False,True
Female unmatched,MBP,Min 2,7,0.383,0.205,0.193,0.699,0.095,0.527,0.316,0.322,42,-0.316,0.316,0.699,42,-0.322,0.322,0.527,False,False,True
Female unmatched,MCAv mean,Baseline,6,-0.631,-0.236,-2.014,0.401,-0.469,0.221,1.383,0.457,49,1.383,1.383,-2.014,22,-0.457,0.457,0.221,True,True,True
Female unmatched,MCAv mean,Min 2,6,0.312,0.183,0.102,0.674,0.053,0.429,0.362,0.246,26,-0.362,0.362,0.674,26,-0.246,0.246,0.429,False,False,True
Female unmatched,MCAv pulsatility,Min 1,6,0.761,0.533,0.099,0.902,0.039,0.798,0.661,0.494,22,0.661,0.661,0.099,22,0.494,0.494,0.039,False,False,True
Female unmatched,MCAv pulsatility,Min 2,6,-0.269,-0.111,-1.067,0.473,-0.299,0.273,0.798,0.385,22,0.798,0.798,-1.067,26,-0.385,0.385,0.273,True,True,True
Female unmatched,SBP,Min 1,7,-0.391,-0.163,-2.524,0.414,-0.539,0.202,2.133,0.377,24,2.133,2.133,-2.524,24,0.377,0.377,-0.539,True,True,True
