Variable,Epoch,n,Visit_1,Visit_1_summary,Visit_2,Visit_2_summary,Fixed_Bias,Fixed_Bias_summary,Comparison_Test,Comparison_P,Effect,Effect_type,MAE,MAPE_%,CV_%,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p
SBP,Baseline,49,127 [12.4],median_iqr,127 [13],median_iqr,-0.631 [12.4],median_iqr,paired t,0.711672119572308,-0.0531154391661742,paired d,8.71797326530612,6.9278274723626,9.53621740291216,-0.646920489795921,12.1795187981408,standard,-24.5187773341518,23.22493635456,-0.0832469849259995,0.569577286350315,-0.109897959183673,0.452226889863985,0.608362195466146,0.31,0.78,0.000750852641531698,0.436448068845065,0.00150867968434271
DBP,Baseline,49,70.4 [8.81],median_iqr,70.6 [9.36],median_iqr,0.49 [6.16],median_iqr,Wilcoxon,0.664337596669931,0.0726530612244898,rank biserial,5.34744123469388,7.38953741718617,11.1824548214627,0.805421663265306,8.04404158000153,standard,-14.9608998335377,16.5717431600683,-0.106682789202231,0.465642539751823,0.119795918367347,0.412283322804189,0.597064169144717,0.29,0.77,0.00103098865388112,0.423094707114487,0.00219922007540463
MBP,Baseline,49,94 [9.84],median_iqr,91.7 [11.9],median_iqr,-0.0246 [7.35],median_iqr,Wilcoxon,0.890241407108224,-0.0236734693877551,rank biserial,5.99145250680272,6.46003848081631,9.64567557815735,0.229396595238097,8.9952785372823,standard,-17.4013493378352,17.8601425283114,-0.112146079212873,0.442973428145179,-0.043469387755102,0.766794284901345,0.672455976102746,0.42,0.82,8.72184885685472e-05,0.506375484599108,0.000154652484232075
HR,Baseline,49,58 [13.5],median_iqr,58.8 [12.8],median_iqr,-0.637 [6.11],median_iqr,Wilcoxon,0.285434308173052,-0.177142857142857,rank biserial,4.07904382653061,6.49852512109179,9.21547569214665,-1.00637545918367,5.53338548245191,regression,-11.3351060946672,9.32235517629989,-0.3345309006465,0.0188037436594177,0.228265306122449,0.114677169298029,0.936767177340969,0.89,0.96,1.60123038033484e-17,0.877531030078272,2.09491345245125e-20
Q (cardiac),Baseline,49,5.62 [1.95],median_iqr,6.04 [1.6],median_iqr,-0.252 [1.21],median_iqr,Wilcoxon,0.0929262186936519,-0.276734693877551,rank biserial,0.933288173469388,16.6859846246804,21.5995565152138,-0.353789846938776,1.24079803239241,standard,-2.7857539904279,2.07817429655035,-0.0454927948204391,0.756264819521946,0.0608163265306122,0.678062128793246,0.741818836681516,0.54,0.85,3.31425337965322e-06,0.570175571145765,1.11551623365604e-05
TPR,Baseline,48,1.25e+03 [302],median_iqr,1.21e+03 [324],median_iqr,25.3 [232],median_iqr,Wilcoxon,0.172457102913562,0.227891156462585,rank biserial,184.149401833333,13.6633420442805,22.3760267328785,71.2418150833333,285.273479767712,fan,-298.9100389875,441.393669154167,0.131438802159978,0.373196018181422,0.413048198002605,0.00352549760556222,0.633094277894679,0.35,0.79,0.000402267586496022,0.447845544397905,0.00122339865315386
ET-CO2,Baseline,44,49.2 [5.45],median_iqr,49.4 [5.78],median_iqr,0.715 [3.28],median_iqr,paired t,0.245429852900312,0.177531038093871,paired d,2.426100375,5.27463629409082,6.93267992558507,0.592141215909091,3.33542360967884,fan,-4.09914170272727,5.28342413454545,-0.270395721691028,0.075864787743275,-0.303453136011276,0.0452388667558222,0.869958381509431,0.76,0.93,3.18301768852133e-10,0.76417423000666,1.17407814911352e-10
MCAv peak,Baseline,46,86.1 [24.7],median_iqr,85.4 [23.3],median_iqr,2.27 [21.2],median_iqr,Wilcoxon,0.263186603609284,0.191489361702128,rank biserial,13.34515175,15.8097472260874,21.5665821675076,1.12948157608696,18.8012116617262,standard,-35.7208932808964,37.9798564330703,0.0460229305429559,0.761346302145769,-0.0914585260561209,0.545511296465905,0.611458260625586,0.3,0.79,0.000975360168440413,0.439452710598192,0.00198695420688701
MCAv min,Baseline,46,42.8 [12.3],median_iqr,42.2 [14.5],median_iqr,1.81 [10.6],median_iqr,Wilcoxon,0.219241139907666,0.209990749306198,rank biserial,6.78903354347826,17.1298556786171,22.3152572036479,0.768698282608696,9.29917457364504,standard,-17.4576838817356,18.995080446953,0.0337765939001829,0.823657705192959,-0.108233117483811,0.474004896771028,0.638534229992369,0.35,0.8,0.000441565226197629,0.467271863636018,0.000894289543359984
MCAv mean,Baseline,46,60.9 [20.1],median_iqr,59.1 [16.8],median_iqr,1.44 [13.7],median_iqr,Wilcoxon,0.2823282549802,0.1840888066605,rank biserial,9.37173588043478,16.2895684223131,21.704146831054,0.641878315217391,12.9855109571791,standard,-24.8097231608536,26.0934797912884,0.0405841244373036,0.788860926761062,-0.0814677767499229,0.590417483746435,0.646109228720782,0.36,0.8,0.000347236807147333,0.476601737964985,0.000672521234291693
MCAv pulse,Baseline,46,43.9 [11.8],median_iqr,43.7 [13.6],median_iqr,1.24 [12.1],median_iqr,Wilcoxon,0.44800304714164,0.130434782608696,rank biserial,7.74893264130435,17.3450835669205,24.1746900632667,0.359003706521739,11.0006462046018,standard,-21.2022628544978,21.9202702675413,-0.00553600418444771,0.970872562651091,0.0358310206598828,0.813117899213962,0.618318356827041,0.31,0.79,0.00080537446246235,0.447242438025446,0.00160084154213639
MCAv pulsatility,Baseline,46,0.758 [0.119],median_iqr,0.772 [0.133],median_iqr,-0.00882 [0.104],median_iqr,Wilcoxon,0.939629424237694,-0.0138760407030527,rank biserial,0.0695359050658216,9.03261441007129,13.4564435655657,-0.0037738153701694,0.103619011809574,standard,-0.206867078516934,0.199319447776595,-0.215335139050491,0.150660161532953,-0.0592661116250385,0.69561664458308,0.727325637064393,0.51,0.85,1.36010452031225e-05,0.571162049819418,2.06827678407706e-05
CVCi,Baseline,46,0.649 +/- 0.155,mean_sd,0.643 +/- 0.139,mean_sd,0.00587 +/- 0.147,mean_sd,paired t,0.788009449935018,0.0398836253515714,paired d,0.10846088637242,17.3500241860987,22.7550399522212,0.00586529644899331,0.147060263386067,standard,-0.282372819787698,0.294103412685684,0.123446260791883,0.413731464329733,-0.0607462226333642,0.688395713319186,0.669229183829794,0.4,0.82,0.000157551447840272,0.502482211707842,0.000290328665267153
CVRi,Baseline,41,1.54 [0.579],median_iqr,1.59 [0.494],median_iqr,-0.0326 [0.416],median_iqr,Wilcoxon,0.456340966281459,-0.13588850174216,rank biserial,0.27858374619861,16.4720923118208,25.0425904590082,-0.00478336759550409,0.401952675533844,fan,-0.549780998091825,0.540214262900816,0.119894452582047,0.455270466996761,0.482578397212544,0.00139628583470842,0.616398265692686,0.28,0.8,0.00155518695855206,0.445466813616564,0.00314760930088479
SmO2,Baseline,46,64.7 [11.3],median_iqr,61.4 [10.3],median_iqr,0.832 [7.63],median_iqr,Wilcoxon,0.379652372745596,0.150786308973173,rank biserial,5.89283967391304,13.0102742865676,18.799786823433,-0.219706239130436,11.3017254546491,standard,-22.3710881302427,21.9316756519818,0.277765377995639,0.0616205455985955,-0.155720012334258,0.301416957614778,0.791813162712801,0.62,0.88,2.8799062994106e-07,0.655285867111125,2.68441665963004e-07
