Variable,Epoch,n,Visit_1,Visit_1_summary,Visit_2,Visit_2_summary,Fixed_Bias,Fixed_Bias_summary,Comparison_Test,Comparison_P,Effect,Effect_type,MAE,MAPE_%,CV_%,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,CCC_p
SBP,Min 1,49,6.94 [12.6],median_iqr,5.92 [8.55],median_iqr,2.03 [12.5],median_iqr,paired t,0.139190314265402,0.214825396802641,paired d,8.53907376530612,480.003204504883,179.986296504302,2.36569368367347,11.0121695054837,standard,-19.2181585470745,23.9495459144214,-0.0518307804199247,0.723573342509322,-0.138469387755102,0.342699582514659,0.634686672153634,0.35,0.79,0.00033546573377387,0.453433717518372,0.000911016736426747
SBP,Min 2,49,15.8 [16.2],median_iqr,13.6 [13.9],median_iqr,1.17 [13.5],median_iqr,paired t,0.807753407430362,0.0349531334569965,paired d,8.89409410204081,98.5212715177045,73.3767026512059,0.400461857142862,11.4571089208799,standard,-22.0554716277818,22.8563953420676,0.0451528451805039,0.758030859292011,-0.0278571428571429,0.84930692611085,0.790713874135602,0.63,0.88,1.31035109024664e-07,0.653586164629118,1.15410160581805e-07
DBP,Min 1,49,6.06 +/- 5.65,mean_sd,4.29 +/- 6.41,mean_sd,1.77 +/- 6.06,mean_sd,paired t,0.0466622217592408,0.291720792197212,paired d,4.45582639795918,274.509775333682,116.989367926521,1.76662978571429,6.05589259650711,standard,-10.1029197034397,13.6361792748682,-0.14501401493328,0.320144627110531,0.0414285714285714,0.777456718589005,0.664582081381881,0.41,0.81,0.000117935511330875,0.476848639624291,0.000432631734111114
DBP,Min 2,49,11.2 [8.61],median_iqr,9.59 [6.78],median_iqr,-0.173 [5.91],median_iqr,paired t,0.41226309392314,0.118159758513075,paired d,4.30149410204081,70.9373871908638,52.9505001457055,0.674497428571429,5.70835144772907,standard,-10.5138714089775,11.8628662661204,0.223627799606697,0.122438635808544,-0.000714285714285714,0.996113583063156,0.786560808393146,0.62,0.88,1.79550472757547e-07,0.644973980470203,1.996800600709e-07
MBP,Min 1,49,7.83 +/- 7.3,mean_sd,5.76 +/- 7.95,mean_sd,2.07 +/- 7.8,mean_sd,paired t,0.0690091048025892,0.265724172832881,paired d,5.9865667585034,390.228037405048,114.770425397814,2.07284291496598,7.80073146100123,standard,-13.2165907485964,17.3622765785284,-0.0961455551423111,0.511071756313614,-0.00357142857142857,0.980569699749131,0.646362727017775,0.37,0.8,0.00022702553460801,0.460169798777838,0.000739794433611687
MBP,Min 2,49,15.2 [12.8],median_iqr,13.6 [9.51],median_iqr,-0.703 [9.68],median_iqr,paired t,0.595238211845166,0.0764039168466851,paired d,5.79566876190476,64.9038473546492,53.0224094634646,0.587462360544214,7.68890372103616,standard,-14.4827889326867,15.6577136537751,0.223992646716418,0.121813988269665,-0.0013265306122449,0.992782436182242,0.799129886723339,0.64,0.89,6.73235176572095e-08,0.664135040108936,5.7291056992152e-08
HR,Min 1,49,9.68 [14.5],median_iqr,10.7 [12.2],median_iqr,1.23 [6.03],median_iqr,Wilcoxon,0.168207177957623,0.227755102040816,rank biserial,5.47450240816327,107.044329598308,68.5509056108828,1.05205865306122,7.84013507263573,fan,-9.43456094857143,11.5386782546939,0.174621278680787,0.230123771688645,0.420918367346939,0.00259837209519948,0.833010122493085,0.7,0.91,2.95951346449023e-09,0.710075454127259,1.76360888129353e-09
HR,Min 2,49,6.01 [8.43],median_iqr,5.42 [9.81],median_iqr,0.94 [6.86],median_iqr,Wilcoxon,0.171325084276596,0.226122448979592,rank biserial,4.74327504081633,882.736541791699,93.1881465108887,1.7745222244898,7.11945221236102,regression+fan,-7.62697358028138,11.176018029261,0.314635077461412,0.027676399253853,0.344591836734694,0.015323292145716,0.826384540767254,0.69,0.9,5.81103661399176e-09,0.691166890102268,8.10570077762762e-09
Q (cardiac),Min 1,49,1.05 [1.18],median_iqr,0.851 [1.23],median_iqr,0.0839 [0.931],median_iqr,Wilcoxon,0.483395709524977,0.116734693877551,rank biserial,0.691741051020408,361.263040092289,89.8030851945032,0.0805169693877551,1.00759608195787,fan,-1.26539733183673,1.42643127061225,0.0557371010045591,0.703660713697531,0.347244897959184,0.0145027553534056,0.751121126082167,0.56,0.86,1.92667630794188e-06,0.599877792201853,2.60342492437992e-06
Q (cardiac),Min 2,49,0.755 [0.892],median_iqr,0.641 [0.977],median_iqr,0.000296 [1.09],median_iqr,Wilcoxon,0.805328189287153,0.0416326530612245,rank biserial,0.758080948979592,283.432173830243,132.538426141509,0.0300423571428571,1.13277715522111,standard,-2.19020086709052,2.25028558137623,0.11438654060433,0.433856659653962,0.0968367346938775,0.508024812600703,0.621572087504285,0.33,0.79,0.00050734307472708,0.45075054601311,0.000988487967958316
