Variable,Test,Effect,F,Num DF,Den DF,P,partial_eta_sq,n_participants,n_participants_available,n_observations
SBP,two-way repeated-measures ANOVA,visit,0.8792764592503551,1.0,48.0,0.3530943718753827,0.017988737210203793,49,49,294
SBP,two-way repeated-measures ANOVA,time,59.62775138501427,2.0,96.0,1.4696522522654838e-17,0.5540183699621233,49,49,294
SBP,two-way repeated-measures ANOVA,visit:time,1.4231320976239126,2.0,96.0,0.2459952360147261,0.02879485854544479,49,49,294
DBP,two-way repeated-measures ANOVA,visit,2.51872791328009,1.0,48.0,0.11906775340239541,0.049857310690873125,49,49,294
DBP,two-way repeated-measures ANOVA,time,104.92426279688092,2.0,96.0,6.993787084969232e-25,0.6861191342556596,49,49,294
DBP,two-way repeated-measures ANOVA,visit:time,2.54406105796721,2.0,96.0,0.08383261254439452,0.0503335308781286,49,49,294
MBP,two-way repeated-measures ANOVA,visit,1.7045258779903312,1.0,48.0,0.19792035043176184,0.034293172460279166,49,49,294
MBP,two-way repeated-measures ANOVA,time,104.0710698073668,2.0,96.0,9.148345066762405e-25,0.6843581092656013,49,49,294
MBP,two-way repeated-measures ANOVA,visit:time,2.1446545272480013,2.0,96.0,0.12268642238669115,0.04276935492860205,49,49,294
HR,two-way repeated-measures ANOVA,visit,2.283041601225099,1.0,48.0,0.13735103200451756,0.045403808690233936,49,49,294
HR,two-way repeated-measures ANOVA,time,49.15496326453603,2.0,96.0,2.0010584895247437e-15,0.5059439231189418,49,49,294
HR,two-way repeated-measures ANOVA,visit:time,1.4189532531641733,2.0,96.0,0.24699568251132223,0.028712733875505977,49,49,294
MCAv mean,two-way repeated-measures ANOVA,visit,0.17587494943657578,1.0,45.0,0.6769378013081152,0.0038931166166327733,46,46,276
MCAv mean,two-way repeated-measures ANOVA,time,3.5195578579370848,2.0,90.0,0.033752470103968035,0.07253895157581979,46,46,276
MCAv mean,two-way repeated-measures ANOVA,visit:time,0.43495353097737116,2.0,90.0,0.6486481002021875,0.00957310390294163,46,46,276
CVCi,two-way repeated-measures ANOVA,visit,1.0744478291961788,1.0,45.0,0.3054811164375921,0.023319819983069423,46,46,276
CVCi,two-way repeated-measures ANOVA,time,45.9679578899759,2.0,90.0,1.7562367999699674e-14,0.505320323289804,46,46,276
CVCi,two-way repeated-measures ANOVA,visit:time,2.9007379366905246,2.0,90.0,0.06014007143001373,0.060557270339433464,46,46,276
MCAv pulsatility,two-way repeated-measures ANOVA,visit,1.0460019308238315,1.0,45.0,0.31189656795410226,0.02271645500070275,46,46,276
MCAv pulsatility,two-way repeated-measures ANOVA,time,15.901740861013293,2.0,90.0,1.2196249620112711e-06,0.26110486557852913,46,46,276
MCAv pulsatility,two-way repeated-measures ANOVA,visit:time,0.6532211035017293,2.0,90.0,0.5228161511787495,0.014308324532474785,46,46,276
ET-CO2,two-way repeated-measures ANOVA,visit,1.1833257086794358,1.0,42.0,0.28288320139696393,0.027402375552598966,43,46,258
ET-CO2,two-way repeated-measures ANOVA,time,41.23276470778797,2.0,84.0,3.3427871914574285e-13,0.49539102602859814,43,46,258
ET-CO2,two-way repeated-measures ANOVA,visit:time,1.4410511474271837,2.0,84.0,0.24246917287693087,0.0331725662562042,43,46,258
