Variable,Visit,Epoch,Center,Err_lo,Err_hi,Summary
SBP,V1,Baseline,0.0,0.0,0.0,mean_sd
SBP,V1,Min 1,7.301184581632655,10.397418371126806,10.397418371126806,mean_sd
SBP,V1,Min 2,15.814327102040819,14.003411922988233,14.003411922988233,mean_sd
SBP,V2,Baseline,0.0,0.0,0.0,mean_sd
SBP,V2,Min 1,5.917395499999998,4.607303999999999,3.9431840000000022,median_iqr
SBP,V2,Min 2,13.618616500000002,4.903540000000007,8.96555149999999,median_iqr
DBP,V1,Baseline,0.0,0.0,0.0,mean_sd
DBP,V1,Min 1,6.05976186734694,5.649027605227823,5.649027605227823,mean_sd
DBP,V1,Min 2,11.24785,4.222464500000001,4.388230500000006,median_iqr
DBP,V2,Baseline,0.0,0.0,0.0,mean_sd
DBP,V2,Min 1,4.293132081632653,6.410481389833942,6.410481389833942,mean_sd
DBP,V2,Min 2,10.443294306122448,6.198937562537081,6.198937562537081,mean_sd
MBP,V1,Baseline,0.0,0.0,0.0,mean_sd
MBP,V1,Min 1,7.833234690476191,7.301502118669218,7.301502118669218,mean_sd
MBP,V1,Min 2,15.194228999999993,7.282578999999991,5.472437666666664,median_iqr
MBP,V2,Baseline,0.0,0.0,0.0,mean_sd
MBP,V2,Min 1,5.760391775510206,7.94671322359622,7.94671322359622,mean_sd
MBP,V2,Min 2,14.20750291836735,8.57820132289944,8.57820132289944,mean_sd
HR,V1,Baseline,0.0,0.0,0.0,mean_sd
HR,V1,Min 1,9.679873999999991,5.602847499999989,8.851470000000013,median_iqr
HR,V1,Min 2,6.0131780000000035,3.5604160000000036,4.865810999999994,median_iqr
HR,V2,Baseline,0.0,0.0,0.0,mean_sd
HR,V2,Min 1,10.710146000000002,6.110689499999999,6.0842545,median_iqr
HR,V2,Min 2,5.415361500000003,4.2058975000000025,5.603620999999997,median_iqr
MCAv mean,V1,Baseline,0.0,0.0,0.0,mean_sd
MCAv mean,V1,Min 1,1.0531348913043477,4.506291909905227,4.506291909905227,mean_sd
MCAv mean,V1,Min 2,-0.7538963913043482,7.8544855648064305,7.8544855648064305,mean_sd
MCAv mean,V2,Baseline,0.0,0.0,0.0,mean_sd
MCAv mean,V2,Min 1,1.7061569999999997,4.449910000000003,2.8925258749999982,median_iqr
MCAv mean,V2,Min 2,-0.7717865760869566,7.561321462236179,7.561321462236179,mean_sd
CVCi,V1,Baseline,0.0,0.0,0.0,mean_sd
CVCi,V1,Min 1,-0.04012904175772503,0.058555171051607485,0.058555171051607485,mean_sd
CVCi,V1,Min 2,-0.09464364550087258,0.08460556426254845,0.08460556426254845,mean_sd
CVCi,V2,Baseline,0.0,0.0,0.0,mean_sd
CVCi,V2,Min 1,-0.017157007296999472,0.08736986678089924,0.08736986678089924,mean_sd
CVCi,V2,Min 2,-0.09479549317277033,0.09447401722475825,0.09447401722475825,mean_sd
MCAv pulsatility,V1,Baseline,0.0,0.0,0.0,mean_sd
MCAv pulsatility,V1,Min 1,-0.0493033276304348,0.08031028983857387,0.08031028983857387,mean_sd
MCAv pulsatility,V1,Min 2,-0.05771789699999999,0.04712140337500002,0.04728733912499998,median_iqr
MCAv pulsatility,V2,Baseline,0.0,0.0,0.0,mean_sd
MCAv pulsatility,V2,Min 1,-0.058477801999999995,0.04267259149999998,0.035113292375000035,median_iqr
MCAv pulsatility,V2,Min 2,-0.04477935374999997,0.0724601470000001,0.040573450000000025,median_iqr
ET-CO2,V1,Baseline,0.0,0.0,0.0,mean_sd
ET-CO2,V1,Min 1,-1.2670909999999989,1.654061000000001,0.8889649999999989,median_iqr
ET-CO2,V1,Min 2,-2.2898627499999993,2.2621565000000006,1.8040616249999992,median_iqr
ET-CO2,V2,Baseline,0.0,0.0,0.0,mean_sd
ET-CO2,V2,Min 1,-1.8505940681818176,2.5142677988832354,2.5142677988832354,mean_sd
ET-CO2,V2,Min 2,-2.7103079999999977,2.7439295000000037,1.9788080000000003,median_iqr
