ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,Group,Variable,Epoch,n
0.24014971886299424,-0.67,0.65,0.24434037175798748,0.1350422901347249,Male,SBP,Baseline,27
0.5050054205163444,-0.09,0.77,0.03936887366186297,0.33543790252734457,Male,SBP,Min 1,27
0.7582121555435777,0.47,0.89,0.00027958893318798684,0.603131319304972,Male,SBP,Min 2,27
0.4463692016319514,-0.21,0.75,0.0691123991649164,0.2740278916781383,Male,DBP,Baseline,27
0.4029930805813503,-0.31,0.73,0.09757756135269965,0.24668410505540495,Male,DBP,Min 1,27
0.6574708552269806,0.25,0.84,0.0040824482466390154,0.48084814246039154,Male,DBP,Min 2,27
0.4685432790298881,-0.17,0.76,0.056671816711986074,0.29736348297513027,Male,MBP,Baseline,27
0.4460366804233095,-0.22,0.75,0.069309981066682,0.28203934405987197,Male,MBP,Min 1,27
0.7458992078780271,0.44,0.88,0.00042185459347424044,0.5857712051296237,Male,MBP,Min 2,27
0.9164297619290679,0.82,0.96,7.297780092354467e-09,0.8388285364329666,Male,HR,Baseline,27
0.7263730658559524,0.4,0.88,0.0007655156588339648,0.56235751410024,Male,HR,Min 1,27
0.6675323516509327,0.27,0.85,0.00330873653001512,0.4834259297057021,Male,HR,Min 2,27
0.6356834336957655,0.17,0.84,0.00821950051610813,0.46431552135076537,Male,MCAv mean,Baseline,25
0.5955951227579124,0.08,0.82,0.015417973699773858,0.4163085808363433,Male,MCAv mean,Min 1,25
0.8105751795113053,0.57,0.92,6.32553188655323e-05,0.6738595922042686,Male,MCAv mean,Min 2,25
0.7114330361844822,0.35,0.87,0.0017257974471026594,0.55151974174898,Male,CVCi,Baseline,25
0.622698461803631,0.14,0.83,0.010201375106974993,0.43344187178536864,Male,CVCi,Min 1,25
0.8692446429298009,0.7,0.94,2.243712397320987e-06,0.7627769306522605,Male,CVCi,Min 2,25
0.6776266061707564,0.27,0.86,0.0037196089309570616,0.5122651305975663,Male,MCAv pulsatility,Baseline,25
0.40432370720468397,-0.35,0.74,0.1058349051006626,0.25163725094512734,Male,MCAv pulsatility,Min 1,25
0.4881350135260755,-0.16,0.77,0.053832774874026004,0.32072934150144206,Male,MCAv pulsatility,Min 2,25
0.7783908340478292,0.5,0.9,0.00023203297077187165,0.6341665286360789,Male,ET-CO2,Baseline,25
0.5470749004509489,-0.05,0.8,0.031781529293791154,0.37410372465188496,Male,ET-CO2,Min 1,24
0.7688339964635093,0.47,0.9,0.00042392057690434357,0.622736167010069,Male,ET-CO2,Min 2,24
0.8642921535517876,0.6,0.95,0.00030871983697870856,0.7071405677659416,Female matched,SBP,Baseline,15
