n,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC,Variable,Epoch
42,-0.9173288333333354,12.971462796091393,standard,-26.341395913672464,24.506738247005792,-0.06953875302044525,0.661681592120889,-0.1462604327039948,0.3553540915502989,0.5964225839815858,0.25,0.78,0.0022533357846027577,0.4236820679751746,SBP,Baseline
42,2.8268725357142883,11.48064735368543,standard,-19.675196277509155,25.32894134893773,-0.060496500640535925,0.7035155501484321,-0.10282797180131271,0.5169774819576137,0.6530208566004814,0.35,0.81,0.0004927055202593579,0.4697723884479987,SBP,Min 1
42,0.984870928571434,11.811780947115478,standard,-22.1662197277749,24.135961584917773,-0.0007915868942747474,0.9960303440238685,-0.004456689085163277,0.9776532841115262,0.7887646388912001,0.61,0.89,1.129571367920658e-06,0.6495931209423856,SBP,Min 2
42,0.5182035595238089,8.60045227463376,standard,-16.33868289875836,17.375090017805977,-0.09210348961991771,0.5618332983643738,0.10671744591200066,0.5011628412205472,0.5797348184486382,0.22,0.77,0.003291127453458374,0.40729130609894876,DBP,Baseline
42,2.1655483809523837,6.29759832138914,standard,-10.17774432897033,14.508841090875098,-0.1584115639142178,0.3163498197675506,0.07641196013289037,0.6305408774275499,0.6763582225577223,0.4,0.83,0.00023139365283179607,0.48240761231147755,DBP,Min 1
42,1.0697342142857142,5.757219242656572,standard,-10.214415501321167,12.353883929892596,0.1995856805423264,0.20507546368350582,-0.05664046673689329,0.7216303699957654,0.7974701926567708,0.62,0.89,6.302457600323481e-07,0.6553533275340038,DBP,Min 2
42,-0.10028551984126804,9.60629303671634,standard,-18.928619871805292,18.728048832122756,-0.08825659710633202,0.5783521122805398,-0.04351349161332146,0.7843775318908144,0.6635500632464344,0.37,0.82,0.0003541126805362421,0.4964740898331221,MBP,Baseline
42,2.563981496031743,8.044508718712658,standard,-13.203255592645068,18.33121858470855,-0.09828231606710082,0.5357699630828775,0.03800340328984685,0.8111492060641282,0.6642009109358223,0.38,0.82,0.0003467613269173724,0.47250962476157593,MBP,Min 1
42,1.16109106349206,7.75003305360633,standard,-14.028973721576346,16.351155848560467,0.19412986026698523,0.21798738204157547,0.016935418523620453,0.9152258268404748,0.8049308900950352,0.64,0.9,3.7157081259771247e-07,0.6685253406708749,MBP,Min 2
42,-1.3495259404761906,5.612931122727403,regression,-11.690741990578962,8.99169010962658,-0.3714286793060546,0.015442481647444328,0.21708127380277126,0.1673028909117766,0.934185488759845,0.88,0.96,6.745252352977075e-15,0.8701354902075349,HR,Baseline
42,0.8566150952380946,8.126288972892777,fan,-9.86983751809524,11.583067708571429,0.15329990322607662,0.3324156040898367,0.36245036868973346,0.018329441729873767,0.8367499715539858,0.7,0.91,2.748500575052796e-08,0.7170299593627066,HR,Min 1
42,2.200256571428571,7.265054324470808,regression,-10.142088230339066,14.54260137319621,0.5167569513030406,0.00045879362428470383,0.27607163114820515,0.07677258362247273,0.8110083396606295,0.65,0.9,2.3661758856967047e-07,0.6623145691352361,HR,Min 2
40,1.1018797125000002,10.986598012604032,standard,-20.431852392203904,22.635611817203905,0.02084766610522682,0.8983983097048464,-0.03846153846153847,0.813723133576429,0.7311156284227789,0.49,0.86,4.03650316496192e-05,0.5736794444035693,MCAv mean,Baseline
40,-0.8187246374999999,5.878038486632783,regression+fan,-9.267732146770403,7.630282871770404,-0.4157603448849424,0.007628061502104467,0.3335834896810507,0.03541869926238854,0.662755249748239,0.36,0.82,0.0004922756742763,0.49068787124725827,MCAv mean,Min 1
40,0.20520223749999927,6.4788420958292585,standard,-12.493328270325346,12.903732745325346,-0.10528031895278608,0.517931216454967,0.17073170731707318,0.2921944821594203,0.7648896549788521,0.56,0.88,7.915364779480749e-06,0.6190460335330275,MCAv mean,Min 2
40,0.013996306133042268,0.1279753172507294,standard,-0.23683531567838734,0.26482792794447185,0.18746089443349437,0.24673542212932645,-0.05947467166979363,0.7154502578841453,0.7336050112818088,0.5,0.86,3.6178290598760135e-05,0.5763115973178499,CVCi,Baseline
40,-0.030025032936289532,0.08380241538892311,regression,-0.18192602699102073,0.12187596111844168,-0.40825709758788364,0.008917010774057446,0.22720450281425897,0.1585639064533231,0.5678735004001064,0.18,0.77,0.005134251225176528,0.3673386233118275,CVCi,Min 1
40,-0.0037540001480692335,0.07480339367740961,standard,-0.15036865175579206,0.1428606514596536,-0.19811577873414196,0.22040472632189717,0.042401500938086305,0.7950306051091449,0.7852687677165167,0.59,0.89,2.487338450343344e-06,0.6458649123058421,CVCi,Min 2
40,-0.0019191831256948038,0.10618894766180621,standard,-0.210049520542835,0.20621115429144538,-0.21227525714426426,0.1885032855227023,0.04859287054409006,0.7658872246934962,0.7204484276060167,0.47,0.85,6.34565871083742e-05,0.5629651778053681,MCAv pulsatility,Baseline
40,0.015324954018502496,0.10286917542377128,standard,-0.1862986298120892,0.2169485378490942,0.024484940695313966,0.8807896886792344,-0.25196998123827397,0.11676629054937802,0.3672366280816118,-0.2,0.67,0.07870671271424032,0.22101783064766353,MCAv pulsatility,Min 1
40,0.008998227729382463,0.11611001237148943,standard,-0.2185773965187368,0.23657385197750175,-0.10015799826024487,0.5386093059462286,-0.08180112570356474,0.6158133212988841,0.5932199573445633,0.23,0.78,0.0030166228973960867,0.42018951006082456,MCAv pulsatility,Min 2
39,0.26852178205128185,5.1221328645027775,fan,-5.49624281813281,6.033286382235374,0.18296462900649973,0.26490118409872,-0.32753036437246963,0.041810208455380665,0.788130893904328,0.6,0.89,2.7819804631039485e-06,0.6497024915631393,ET-CO2,Baseline
38,-0.09853480263157888,2.3145640905259692,regression,-4.426919725146502,4.229850119883344,-0.33803662357210745,0.03791857380443316,-0.04387788598314914,0.7936515083745836,0.5967260524087661,0.22,0.79,0.0034811650183453973,0.42478401781790326,ET-CO2,Min 1
