Variable,Epoch,n,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC
SBP,Baseline,49,-0.6469204897959208,12.179518798140753,standard,-24.518777334151796,23.224936354559954,-0.08324698492599956,0.5695772863503151,-0.10989795918367347,0.45222688986398446,0.6083621954661464,0.31,0.78,0.000750852641531698,0.4364480688450647
SBP,Min 1,49,2.3656936836734714,11.012169505483664,standard,-19.21815854707451,23.94954591442145,-0.051830780419924734,0.723573342509322,-0.13846938775510204,0.3426995825146594,0.6346866721536344,0.35,0.79,0.0003354657337738706,0.4534337175183719
SBP,Min 2,49,0.4004618571428616,11.45710892087995,standard,-22.05547162778184,22.856395342067565,0.04515284518050393,0.7580308592920105,-0.027857142857142855,0.8493069261108499,0.7907138741356016,0.63,0.88,1.3103510902466336e-07,0.6535861646291174
DBP,Baseline,49,0.8054216632653055,8.044041580001535,standard,-14.960899833537702,16.571743160068312,-0.1066827892022313,0.4656425397518233,0.11979591836734692,0.4122833228041884,0.5970641691447167,0.29,0.77,0.001030988653881125,0.42309470711448677
DBP,Min 1,49,1.7666297857142876,6.055892596507113,standard,-10.102919703439653,13.63617927486823,-0.14501401493328026,0.3201446271105305,0.04142857142857142,0.7774567185890053,0.6645820813818812,0.41,0.81,0.00011793551133087575,0.47684863962429047
DBP,Min 2,49,0.6744974285714288,5.708351447729066,standard,-10.51387140897754,11.862866266120399,0.2236277996066965,0.12243863580854371,-0.0007142857142857142,0.9961135830631557,0.7865608083931462,0.62,0.88,1.795504727575486e-07,0.6449739804702032
MBP,Baseline,49,0.22939659523809688,8.995278537282296,standard,-17.401349337835203,17.860142528311396,-0.1121460792128731,0.4429734281451792,-0.04346938775510204,0.7667942849013445,0.6724559761027462,0.42,0.82,8.721848856854659e-05,0.5063754845991078
MBP,Min 1,49,2.0728429149659835,7.800731461001229,standard,-13.216590748596426,17.362276578528395,-0.09614555514231106,0.5110717563136141,-0.003571428571428571,0.9805696997491311,0.6463627270177759,0.37,0.8,0.00022702553460800682,0.46016979877783803
MBP,Min 2,49,0.5874623605442143,7.68890372103616,standard,-14.48278893268666,15.657713653775087,0.22399264671641742,0.12181398826966493,-0.0013265306122448978,0.9927824361822419,0.7991298867233385,0.64,0.89,6.73235176572095e-08,0.6641350401089359
HR,Baseline,49,-1.0063754591836735,5.533385482451908,regression,-11.335106094667243,9.322355176299897,-0.3345309006465005,0.018803743659417636,0.22826530612244894,0.11467716929802856,0.9367671773409694,0.89,0.96,1.6012303803347226e-17,0.8775310300782717
HR,Min 1,49,1.0520586530612237,7.8401350726357295,fan,-9.43456094857143,11.538678254693878,0.17462127868078706,0.23012377168864448,0.4209183673469387,0.0025983720951994766,0.8330101224930854,0.7,0.91,2.9595134644902275e-09,0.7100754541272584
HR,Min 2,49,1.7745222244897958,7.119452212361025,regression+fan,-7.626973580281381,11.176018029260973,0.31463507746141184,0.027676399253852943,0.3445918367346938,0.015323292145715995,0.8263845407672537,0.69,0.9,5.811036613991702e-09,0.6911668901022678
Q (cardiac),Baseline,49,-0.3537898469387755,1.2407980323924102,standard,-2.7857539904278994,2.0781742965503485,-0.04549279482043907,0.7562648195219462,0.060816326530612246,0.6780621287932461,0.7418188366815155,0.54,0.85,3.3142533796532417e-06,0.5701755711457646
Q (cardiac),Min 1,49,0.08051696938775513,1.0075960819578687,fan,-1.2653973318367349,1.4264312706122453,0.05573710100455907,0.703660713697531,0.3472448979591837,0.014502755353405526,0.7511211260821669,0.56,0.86,1.9266763079418628e-06,0.5998777922018526
Q (cardiac),Min 2,49,0.030042357142857135,1.132777155221111,standard,-2.1902008670905206,2.2502855813762346,0.11438654060433019,0.43385665965396236,0.09683673469387753,0.5080248126007032,0.6215720875042852,0.33,0.79,0.0005073430747270765,0.45075054601310965
TPR,Baseline,48,71.2418150833333,285.27347976771193,fan,-298.9100389875,441.39366915416656,0.1314388021599775,0.37319601818142173,0.4130481980026053,0.003525497605562215,0.6330942778946796,0.35,0.79,0.0004022675864960174,0.44784554439790475
TPR,Min 1,48,-16.17718910416663,209.4618985638141,standard,-426.7225102892422,394.36813208090894,0.03243777338351782,0.826752060522653,0.040490664350846715,0.7846649205867141,0.6661567623525592,0.4,0.81,0.00012949446241936868,0.49790828051496855
TPR,Min 2,48,-5.121809958333304,203.97798787424168,regression,-389.9052404521239,379.6616205354573,0.30562016731394825,0.03465062663253609,0.05851063829787234,0.692823112856141,0.691824318487591,0.45,0.83,4.683831304313647e-05,0.5286862511830321
ET-CO2,Baseline,45,0.052426966666666415,4.896970980435606,fan,-5.6221142301333344,5.726968163466667,0.2099471512258643,0.1662911748451786,-0.40184453227931477,0.006215546501105611,0.7841861067472446,0.61,0.88,6.5414539223462e-07,0.6449617643405587
ET-CO2,Min 1,44,0.17744852272727296,2.6004736791643004,regression,-4.658835553710521,5.013732599165067,-0.34727244944728314,0.02090880438527158,-0.22804792107117688,0.1365274201172744,0.4462447361712868,-0.01,0.7,0.027878785830724635,0.2862319140175175
ET-CO2,Min 2,43,0.7290066511627912,3.499139653753514,fan,-4.264462865548946,5.722476167874529,-0.14720368264847028,0.3462027302355217,-0.39021443672606465,0.009685533542358401,0.6402308348246701,0.34,0.81,0.0006285635398940618,0.4600204190270435
MCAv peak,Baseline,46,1.129481576086957,18.801211661726178,standard,-35.72089328089635,37.97985643307027,0.04602293054295591,0.7613463021457696,-0.09145852605612088,0.5455112964659047,0.6114582606255855,0.3,0.79,0.0009753601684404068,0.4394527105981921
MCAv peak,Min 1,46,-0.6728109782608712,7.095817223288549,regression+fan,-10.331636459056645,8.986014502534902,-0.523678251153859,0.00018789336228406065,0.2973172987974098,0.044787980371859264,0.6378354640405076,0.35,0.8,0.0004512682719951286,0.46597424261598863
MCAv peak,Min 2,46,0.4413118043478254,8.38831955553979,standard,-15.999794524510163,16.882418133205814,-0.19495953289056694,0.19415332763840157,-0.21282762873882208,0.15558712414461828,0.7289228554681603,0.51,0.85,1.2571090302832685e-05,0.5727773884010326
MCAv min,Baseline,46,0.7686982826086958,9.299174573645038,standard,-17.457683881735576,18.99508044695297,0.033776593900182846,0.8236577051929593,-0.10823311748381129,0.4740048967710276,0.6385342299923698,0.35,0.8,0.000441565226197622,0.46727186363601736
MCAv min,Min 1,46,-1.0165290760869563,5.272128937344615,regression+fan,-8.792676454753948,6.759618302580036,-0.372876626404336,0.010706007573474265,0.3612087573234659,0.013651118672392937,0.6214871602964898,0.32,0.79,0.000735679576932001,0.4416224099324971
MCAv min,Min 2,46,-0.09765576086956576,7.172395540827153,standard,-14.155551020890785,13.960239499151653,0.11475782260905333,0.44760161782102426,-0.03903792784458834,0.7967313090562821,0.6072048075485689,0.29,0.78,0.0010950652002910686,0.4359147102049815
MCAv mean,Baseline,46,0.6418783152173908,12.985510957179097,standard,-24.80972316085364,26.09347979128842,0.040584124437303616,0.7888609267610617,-0.08146777674992291,0.590417483746435,0.6461092287207819,0.36,0.8,0.00034723680714733395,0.47660173796498495
MCAv mean,Min 1,46,-0.7350249130434776,5.634698638981775,regression,-10.790558651779952,9.320508825692995,-0.4352219275745,0.0025041393961100626,0.22898550724637684,0.12583526692000535,0.6761573596051045,0.41,0.82,0.00012210358387052802,0.5064436769686993
MCAv mean,Min 2,46,0.017890184782608537,7.219978744608405,standard,-14.133268154649866,14.169048524215082,0.04594585628062355,0.7617342762747,0.049275362318840575,0.7450282049026217,0.7191449327744994,0.49,0.84,2.0139529502700995e-05,0.5614553682062057
MCAv pulse,Baseline,46,0.35900370652173896,11.000646204601829,standard,-21.202262854497842,21.920270267541323,-0.005536004184447753,0.9708725626510909,0.03583102065988283,0.8131178992139622,0.6183183568270411,0.31,0.79,0.000805374462462358,0.44724243802544594
MCAv pulse,Min 1,46,0.345497663043478,4.6470373116835955,standard,-8.76269546785637,9.453690793943325,-0.25695299148293216,0.08473397207606691,-0.22701202590194264,0.12922035677935337,0.43167688331889476,-0.03,0.69,0.030566070723995697,0.2741248242141889
MCAv pulse,Min 2,46,0.5407471413043475,5.099940487384919,regression,-8.682101490568716,9.76359577317741,-0.4093994016654954,0.0047242774589751554,-0.04853530681467777,0.748731802421671,0.5659562911928995,0.22,0.76,0.003023809852056338,0.39193107436701924
MCAv pulsatility,Baseline,46,-0.0037738153701693967,0.10361901180957359,standard,-0.20686707851693364,0.19931944777659483,-0.21533513905049093,0.15066016153295295,-0.059266111625038545,0.6956166445830797,0.7273256370643929,0.51,0.85,1.3601045203122487e-05,0.5711620498194183
MCAv pulsatility,Min 1,46,0.017304963016089133,0.0975561124399849,standard,-0.17390501736628125,0.20851494339845952,0.01704406268556524,0.9104862697139939,-0.2065371569534382,0.16846493406667304,0.4000356520634852,-0.08,0.67,0.045038965411105344,0.244138613094271
MCAv pulsatility,Min 2,46,0.01371444792772388,0.12780756048629188,standard,-0.23678837062540822,0.264217266480856,0.061956351332833635,0.682512200827023,-0.036324390995991364,0.8105915503834557,0.49663188668717395,0.09,0.72,0.011669562030740606,0.32776271973088933
CVCi,Baseline,46,0.005865296448993312,0.14706026338606693,standard,-0.28237281978769785,0.29410341268568446,0.12344626079188296,0.41373146432973235,-0.06074622263336416,0.6883957133191861,0.6692291838297945,0.4,0.82,0.00015755144784027194,0.5024822117078417
CVCi,Min 1,46,-0.022972034460725564,0.08121603422018059,regression,-0.16940254807083618,0.12345847914938504,-0.41546963651499486,0.0040872415588638815,0.21813135985198892,0.14530240512767026,0.5752259363553778,0.23,0.76,0.0024449649279879053,0.3849590486152857
CVCi,Min 2,46,0.00015184767189778162,0.08032316362698656,standard,-0.1572815530369959,0.15758524838079144,-0.13720200763786985,0.36321804115935036,-0.0765340733888375,0.6131820487238294,0.7491039281866497,0.55,0.86,4.3585063689466644e-06,0.5988529720927491
CVRi,Baseline,41,-0.004783367595504093,0.4019526755338435,fan,-0.5497809980918246,0.5402142629008163,0.11989445258204705,0.4552704669967613,0.4825783972125436,0.001396285834708417,0.6163982656926852,0.28,0.8,0.0015551869585520707,0.44546681361656426
CVRi,Min 1,41,0.11946501308616755,0.4070076821683641,standard,-0.6782700439638261,0.9172000701361611,0.2619737168847553,0.09800272429218716,0.23885017421602792,0.13259319143661744,0.4610348141707384,-0.01,0.71,0.02696496513384905,0.2821242736433315
CVRi,Min 2,41,0.048644815810411114,0.38619425593552686,standard,-0.7082959258232215,0.8055855574440438,0.22808749763935224,0.15148899774826421,0.30801393728223003,0.05009129465209058,0.7186292606290122,0.47,0.85,5.5957771427255726e-05,0.5568514939582242
SmO2,Baseline,46,-0.21970623913043583,11.30172545464912,standard,-22.371088130242708,21.931675651981838,0.2777653779956385,0.061620545598595484,-0.15572001233425842,0.30141695761477705,0.791813162712801,0.62,0.88,2.879906299410586e-07,0.6552858671111252
