Variable,Epoch,n,Visit_1,Visit_1_summary,Visit_2,Visit_2_summary,Fixed_Bias,Fixed_Bias_summary,Comparison_Test,Comparison_P,Effect,Effect_type,MAE,MAPE_%,CV_%,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC
SBP,Baseline,49,127 +/- 11,mean_sd,127 [13],median_iqr,-0.647 +/- 12.2,mean_sd,paired t,0.7116721195723084,-0.05311543916617424,paired d,8.717973265306126,6.927827472362597,9.536217402912161,-0.6469204897959208,12.179518798140753,standard,-24.518777334151796,23.224936354559954,-0.08324698492599956,0.5695772863503151,-0.10989795918367347,0.45222688986398446,0.6083621954661464,0.31,0.78,0.000750852641531698,0.4364480688450647
DBP,Baseline,49,70.4 [8.81],median_iqr,71.5 +/- 7.86,mean_sd,0.49 [6.16],median_iqr,Wilcoxon,0.664337596669931,0.07265306122448979,rank biserial,5.347441234693878,7.389537417186165,11.182454821462654,0.8054216632653055,8.044041580001535,standard,-14.960899833537702,16.571743160068312,-0.1066827892022313,0.4656425397518233,0.11979591836734692,0.4122833228041884,0.5970641691447167,0.29,0.77,0.001030988653881125,0.42309470711448677
MBP,Baseline,49,93.4 +/- 8.61,mean_sd,93.1 +/- 9.48,mean_sd,-0.0246 [7.35],median_iqr,Wilcoxon,0.8902414071082241,-0.0236734693877551,rank biserial,5.9914525068027205,6.4600384808163085,9.645675578157348,0.22939659523809688,8.995278537282296,standard,-17.401349337835203,17.860142528311396,-0.1121460792128731,0.4429734281451792,-0.04346938775510204,0.7667942849013445,0.6724559761027462,0.42,0.82,8.721848856854659e-05,0.5063754845991078
HR,Baseline,49,59.5 +/- 10.4,mean_sd,58.8 [12.8],median_iqr,-0.637 [6.11],median_iqr,Wilcoxon,0.28543430817305193,-0.17714285714285713,rank biserial,4.079043826530612,6.498525121091789,9.21547569214665,-1.0063754591836735,5.533385482451908,regression,-11.335106094667243,9.322355176299897,-0.3345309006465005,0.018803743659417636,0.22826530612244894,0.11467716929802856,0.9367671773409694,0.89,0.96,1.6012303803347226e-17,0.8775310300782717
Q (cardiac),Baseline,49,5.57 +/- 1.34,mean_sd,5.92 +/- 1.39,mean_sd,-0.252 [1.21],median_iqr,Wilcoxon,0.09292621869365192,-0.276734693877551,rank biserial,0.9332881734693876,16.685984624680387,21.5995565152138,-0.3537898469387755,1.2407980323924102,standard,-2.7857539904278994,2.0781742965503485,-0.04549279482043907,0.7562648195219462,0.060816326530612246,0.6780621287932461,0.7418188366815155,0.54,0.85,3.3142533796532417e-06,0.5701755711457646
TPR,Baseline,48,1.25e+03 [302],median_iqr,1.24e+03 +/- 259,mean_sd,25.3 [232],median_iqr,Wilcoxon,0.17245710291356176,0.22789115646258504,rank biserial,184.14940183333337,13.663342044280538,22.376026732878554,71.2418150833333,285.27347976771193,fan,-298.9100389875,441.39366915416656,0.1314388021599775,0.37319601818142173,0.4130481980026053,0.003525497605562215,0.6330942778946796,0.35,0.79,0.0004022675864960174,0.44784554439790475
ET-CO2,Baseline,45,49.2 [5.65],median_iqr,49.3 [6.36],median_iqr,0.494 [3.32],median_iqr,Wilcoxon,0.3581279343175652,0.15942028985507245,rank biserial,2.898742588888889,6.882742051977177,10.261740802146562,0.052426966666666415,4.896970980435606,fan,-5.6221142301333344,5.726968163466667,0.2099471512258643,0.1662911748451786,-0.40184453227931477,0.006215546501105611,0.7841861067472446,0.61,0.88,6.5414539223462e-07,0.6449617643405587
MCAv peak,Baseline,46,87.7 +/- 18.1,mean_sd,86.6 +/- 17.4,mean_sd,2.27 [21.2],median_iqr,Wilcoxon,0.2631866036092845,0.19148936170212766,rank biserial,13.34515175,15.809747226087417,21.566582167507587,1.129481576086957,18.801211661726178,standard,-35.72089328089635,37.97985643307027,0.04602293054295591,0.7613463021457696,-0.09145852605612088,0.5455112964659047,0.6114582606255855,0.3,0.79,0.0009753601684404068,0.4394527105981921
MCAv min,Baseline,46,42.1 +/- 9.16,mean_sd,41.3 +/- 8.89,mean_sd,1.81 [10.6],median_iqr,Wilcoxon,0.21924113990766614,0.20999074930619796,rank biserial,6.789033543478262,17.129855678617144,22.315257203647885,0.7686982826086958,9.299174573645038,standard,-17.457683881735576,18.99508044695297,0.033776593900182846,0.8236577051929593,-0.10823311748381129,0.4740048967710276,0.6385342299923698,0.35,0.8,0.000441565226197622,0.46727186363601736
MCAv mean,Baseline,46,60.2 +/- 12.9,mean_sd,59.5 +/- 12.5,mean_sd,1.44 [13.7],median_iqr,Wilcoxon,0.2823282549802002,0.18408880666049954,rank biserial,9.371735880434782,16.28956842231311,21.70414683105402,0.6418783152173908,12.985510957179097,standard,-24.80972316085364,26.09347979128842,0.040584124437303616,0.7888609267610617,-0.08146777674992291,0.590417483746435,0.6461092287207819,0.36,0.8,0.00034723680714733395,0.47660173796498495
MCAv pulse,Baseline,46,45.7 +/- 10.4,mean_sd,43.7 [13.6],median_iqr,1.24 [12.1],median_iqr,Wilcoxon,0.44800304714163985,0.13043478260869565,rank biserial,7.748932641304347,17.34508356692052,24.17469006326672,0.35900370652173896,11.000646204601829,standard,-21.202262854497842,21.920270267541323,-0.005536004184447753,0.9708725626510909,0.03583102065988283,0.8131178992139622,0.6183183568270411,0.31,0.79,0.000805374462462358,0.44724243802544594
MCAv pulsatility,Baseline,46,0.768 +/- 0.102,mean_sd,0.772 +/- 0.121,mean_sd,-0.00882 [0.104],median_iqr,Wilcoxon,0.9396294242376939,-0.013876040703052728,rank biserial,0.06953590506582158,9.032614410071297,13.456443565565667,-0.0037738153701693967,0.10361901180957359,standard,-0.20686707851693364,0.19931944777659483,-0.21533513905049093,0.15066016153295295,-0.059266111625038545,0.6956166445830797,0.7273256370643929,0.51,0.85,1.3601045203122487e-05,0.5711620498194183
CVCi,Baseline,46,0.649 +/- 0.155,mean_sd,0.643 +/- 0.139,mean_sd,0.00587 +/- 0.147,mean_sd,paired t,0.7880094499350181,0.03988362535157144,paired d,0.10846088637242034,17.350024186098665,22.755039952221185,0.005865296448993312,0.14706026338606693,standard,-0.28237281978769785,0.29410341268568446,0.12344626079188296,0.41373146432973235,-0.06074622263336416,0.6883957133191861,0.6692291838297945,0.4,0.82,0.00015755144784027194,0.5024822117078417
