Variable,Epoch,n,Visit_1,Visit_1_summary,Visit_2,Visit_2_summary,Fixed_Bias,Fixed_Bias_summary,Comparison_Test,Comparison_P,Effect,Effect_type,MAE,MAPE_%,CV_%,Mean_diff,SD_diff,LoA_type,LoA_lo,LoA_hi,Prop_bias_r,Prop_bias_P,Hetero_rho,Hetero_P,ICC3k,ICC3k_lo,ICC3k_hi,ICC3k_p,CCC
SBP,Min 1,49,7.3 +/- 10.4,mean_sd,5.92 [8.55],median_iqr,2.37 +/- 11,mean_sd,paired t,0.13919031426540207,0.21482539680264104,paired d,8.53907376530612,480.00320450488283,179.98629650430152,2.3656936836734714,11.012169505483664,standard,-19.21815854707451,23.94954591442145,-0.051830780419924734,0.723573342509322,-0.13846938775510204,0.3426995825146594,0.6346866721536344,0.35,0.79,0.0003354657337738706,0.4534337175183719
SBP,Min 2,49,15.8 +/- 14,mean_sd,13.6 [13.9],median_iqr,0.4 +/- 11.5,mean_sd,paired t,0.8077534074303616,0.03495313345699646,paired d,8.894094102040812,98.52127151770446,73.37670265120589,0.4004618571428616,11.45710892087995,standard,-22.05547162778184,22.856395342067565,0.04515284518050393,0.7580308592920105,-0.027857142857142855,0.8493069261108499,0.7907138741356016,0.63,0.88,1.3103510902466336e-07,0.6535861646291174
DBP,Min 1,49,6.06 +/- 5.65,mean_sd,4.29 +/- 6.41,mean_sd,1.77 +/- 6.06,mean_sd,paired t,0.04666222175924085,0.29172079219721225,paired d,4.455826397959184,274.50977533368166,116.98936792652061,1.7666297857142876,6.055892596507113,standard,-10.102919703439653,13.63617927486823,-0.14501401493328026,0.3201446271105305,0.04142857142857142,0.7774567185890053,0.6645820813818812,0.41,0.81,0.00011793551133087575,0.47684863962429047
DBP,Min 2,49,11.2 [8.61],median_iqr,10.4 +/- 6.2,mean_sd,0.674 +/- 5.71,mean_sd,paired t,0.4122630939231397,0.11815975851307506,paired d,4.301494102040815,70.93738719086383,52.95050014570548,0.6744974285714288,5.708351447729066,standard,-10.51387140897754,11.862866266120399,0.2236277996066965,0.12243863580854371,-0.0007142857142857142,0.9961135830631557,0.7865608083931462,0.62,0.88,1.795504727575486e-07,0.6449739804702032
MBP,Min 1,49,7.83 +/- 7.3,mean_sd,5.76 +/- 7.95,mean_sd,2.07 +/- 7.8,mean_sd,paired t,0.06900910480258914,0.2657241728328811,paired d,5.9865667585034,390.22803740504804,114.77042539781431,2.0728429149659835,7.800731461001229,standard,-13.216590748596426,17.362276578528395,-0.09614555514231106,0.5110717563136141,-0.003571428571428571,0.9805696997491311,0.6463627270177759,0.37,0.8,0.00022702553460800682,0.46016979877783803
MBP,Min 2,49,15.2 [12.8],median_iqr,14.2 +/- 8.58,mean_sd,0.587 +/- 7.69,mean_sd,paired t,0.5952382118451659,0.07640391684668509,paired d,5.795668761904762,64.90384735464916,53.02240946346459,0.5874623605442143,7.68890372103616,standard,-14.48278893268666,15.657713653775087,0.22399264671641742,0.12181398826966493,-0.0013265306122448978,0.9927824361822419,0.7991298867233385,0.64,0.89,6.73235176572095e-08,0.6641350401089359
HR,Min 1,49,9.68 [14.5],median_iqr,10.7 [12.2],median_iqr,1.23 [6.03],median_iqr,Wilcoxon,0.16820717795762263,0.22775510204081634,rank biserial,5.474502408163266,107.0443295983081,68.55090561088281,1.0520586530612237,7.8401350726357295,fan,-9.43456094857143,11.538678254693878,0.17462127868078706,0.23012377168864448,0.4209183673469387,0.0025983720951994766,0.8330101224930854,0.7,0.91,2.9595134644902275e-09,0.7100754541272584
HR,Min 2,49,6.01 [8.43],median_iqr,5.42 [9.81],median_iqr,0.94 [6.86],median_iqr,Wilcoxon,0.17132508427659587,0.22612244897959183,rank biserial,4.743275040816327,882.7365417916994,93.18814651088867,1.7745222244897958,7.119452212361025,regression+fan,-7.626973580281381,11.176018029260973,0.31463507746141184,0.027676399253852943,0.3445918367346938,0.015323292145715995,0.8263845407672537,0.69,0.9,5.811036613991702e-09,0.6911668901022678
Q (cardiac),Min 1,49,1.05 [1.18],median_iqr,0.851 [1.23],median_iqr,0.0839 [0.931],median_iqr,Wilcoxon,0.48339570952497724,0.11673469387755102,rank biserial,0.6917410510204082,361.2630400922888,89.8030851945032,0.08051696938775513,1.0075960819578687,fan,-1.2653973318367349,1.4264312706122453,0.05573710100455907,0.703660713697531,0.3472448979591837,0.014502755353405526,0.7511211260821669,0.56,0.86,1.9266763079418628e-06,0.5998777922018526
Q (cardiac),Min 2,49,0.755 [0.892],median_iqr,0.641 [0.977],median_iqr,0.000296 [1.09],median_iqr,Wilcoxon,0.8053281892871524,0.04163265306122449,rank biserial,0.7580809489795919,283.43217383024285,132.5384261415093,0.030042357142857135,1.132777155221111,standard,-2.1902008670905206,2.2502855813762346,0.11438654060433019,0.43385665965396236,0.09683673469387753,0.5080248126007032,0.6215720875042852,0.33,0.79,0.0005073430747270765,0.45075054601310965
